Filename
"F:\Library\NeuralAction\Vision\VideoDetectingWithCalib\Notebook\calib_run_example - 복사본\NEURALACTION_20200227_13_29_04.mp4"
Frame per second
0
Calibration X, Calibration Y
y = 1.03863524180306 * x + -0.00134240323527371,y = 1.42929713582241 * x + -0.0875629575660999
Screen Size W,H,Pixel Size W,H,Screen Origin X,Y,Z
73.7959199874202,151.691613307475,1080,2220,-53.1330623909425,0,0
Frame Index (0~),Screen Point X,Screen Point Y, Gaze Vector X, Gaze Vector Y, Gaze Vector Z
0,-110.937180143296,68.8732989726705,-0.145071013804967,-0.0725354040703882,-1
1,-88.2980866372716,164.821539542208,-0.136670508630637,-0.0451255319062022,-1
2,-109.907203789325,36.3539072525725,-0.13851420638441,-0.0730754834967094,-1
3,-75.1814491242864,44.2265723743081,-0.129708617322781,-0.0671635540433297,-1
4,-117.876716452133,46.7561168167392,-0.140986621075304,-0.065783452822958,-1
5,-98.2672643203446,-7.87704802459042,-0.137638788121003,-0.0804281927052658,-1
6,-83.9310097833891,-54.9298846091115,-0.137587250140041,-0.0909262181721672,-1
7,-66.0712246231755,-29.5751088838534,-0.135929770100062,-0.0820806338429957,-1
8,-90.6977592556944,-31.0060928537867,-0.142055252598269,-0.082155901635906,-1
9,-25.6866309580269,-131.765000942173,-0.126751915856429,-0.10796885703591,-1
10,-68.5505927949216,-114.181063723948,-0.140901606622023,-0.102300600140166,-1
11,2.93247768000486,-138.096536572159,-0.12619369606744,-0.106479112748786,-1
12,55.0589153472664,-39.4085128538255,-0.113944665679921,-0.08125762930037,-1
13,14.3681521407419,-78.8442195163117,-0.128131028891729,-0.0914510480965857,-1
14,92.4503476478378,-88.8090844735614,-0.114959406737508,-0.0928782609066341,-1
15,102.30290721112,-93.8261829268805,-0.115518748599656,-0.0930578685177299,-1
16,55.1002230016518,-12.9790957566899,-0.128336902231895,-0.0728169235063497,-1
17,47.8364507835645,-20.2441619141638,-0.132175870477143,-0.0744444670634593,-1
18,-17.3437159178304,-108.376285341533,-0.151781057726876,-0.0964965673022035,-1
19,112.902303590433,-154.341058618904,-0.120181867972595,-0.108166184738602,-1
20,101.825859852913,-34.2689679797718,-0.124699938109024,-0.0775992184186517,-1
21,184.274873133099,-33.4246129859049,-0.105229268084976,-0.0772516746029443,-1
22,101.859564361905,-85.2059509960863,-0.126881813236072,-0.0910030833291036,-1
23,108.159039373153,-98.7218860530161,-0.12554584197913,-0.0943442364170494,-1
24,175.26692167379,-260.975218357492,-0.108984684441268,-0.13557967759458,-1
25,168.229912581689,-121.349167893197,-0.111122729069192,-0.100812985671744,-1
26,107.560356907326,-154.760468697296,-0.12698146880947,-0.109292198587887,-1
27,41.3960757532972,-107.698506438904,-0.143916593985163,-0.0971966387093798,-1
28,130.551632340824,-180.237093030942,-0.121241507433416,-0.115619187109811,-1
29,85.3195603098006,-98.0042350252374,-0.132436392649375,-0.0949349203357178,-1
30,24.2311510521857,-117.246868164512,-0.147634989665642,-0.0997295681964883,-1
31,27.1574587048267,-145.581482851976,-0.146728942674209,-0.106826379688062,-1
32,32.2103859832193,-82.0339036468899,-0.145018098382472,-0.0905145242171712,-1
33,70.6662702385617,-184.962199344222,-0.134867793631696,-0.116582035548376,-1
34,59.8473746678423,-114.149401926441,-0.137591258649671,-0.0979685701995441,-1
35,-28.8124830534237,-191.708577948971,-0.159520994563238,-0.117163667737563,-1
36,-81.0297736205186,-138.2175235225,-0.172091851009652,-0.103462820907377,-1
