Filename
"C:\Users\gmlwn\Downloads\NEURALACTION_20200227_13_29_04.mp4"
Frame per second
0
Calibration X, Calibration Y
y = 0.93721016755221 * x + 0.0111730742117628,y = 1.30495402654035 * x + -0.0807096720589658
Screen Size W,H,Pixel Size W,H,Screen Origin X,Y,Z
73.7959199874202,151.691613307475,1080,2220,-53.1330623909425,0,0
Frame Index (0~),Screen Point X,Screen Point Y, Gaze Vector X, Gaze Vector Y, Gaze Vector Z
0,82.7823092942536,11.1132239748925,-0.0957150549534413,-0.0884105089910385,-1
1,-79.3427632298953,99.1535173752938,-0.132318828932704,-0.0620760287363116,-1
2,-110.782403320847,77.2687987465127,-0.136966512018666,-0.0629440682809054,-1
3,-108.80430217949,62.1822567913605,-0.136040653919383,-0.0630984253128271,-1
4,-104.823984173978,93.6278817528939,-0.136436129508491,-0.0544490451687185,-1
5,-101.213030973133,58.9872297376877,-0.136966274604829,-0.0637101170680754,-1
6,-78.8050799493154,48.1833784878261,-0.134919194750073,-0.0647036178837649,-1
7,-82.1924893761881,34.2278657566221,-0.138272651221536,-0.0659570055389145,-1
8,-78.406838432929,22.1718899298015,-0.136917255630404,-0.0685755526077783,-1
9,-71.2466730936612,12.4329039861424,-0.13673469835585,-0.0714918660195265,-1
10,-51.3855767612458,0.420363520897616,-0.135122351166301,-0.0734771953524998,-1
11,-61.1910624309112,4.87548306130857,-0.141260294867902,-0.0703498417710053,-1
12,-47.7143326627017,5.96715763545418,-0.139427320396881,-0.0697778768255599,-1
13,-30.3524711561341,30.237266440769,-0.138262610012815,-0.0639815349884033,-1
14,-19.4732502459052,-7.47529712061775,-0.141901437915446,-0.0721697496791161,-1
15,-6.19384973185022,-10.0996185479577,-0.141066718798242,-0.0720632670503931,-1
16,-22.9508334989212,-30.3840683301745,-0.146870551404645,-0.0774994619250628,-1
17,-2.17469497570752,-9.37833595413551,-0.144020998817856,-0.0721599686779752,-1
18,13.4904897647911,-22.189781562612,-0.142959228280082,-0.0746100025144589,-1
19,0.255715797603751,-32.7240524299504,-0.148104363180579,-0.0775369719672115,-1
20,3.96061676813764,-1.30618627210482,-0.149135102333403,-0.0695182427753938,-1
21,1.30652495229322,-23.6694071538871,-0.151007836639236,-0.0751477436785761,-1
22,13.858838156136,-25.4932814642062,-0.148617191032391,-0.076366285301828,-1
23,20.8546584745822,-15.5796179864347,-0.147641476027497,-0.0738108966657788,-1
24,13.086760215308,-58.0264773980634,-0.149982153004571,-0.084796380456143,-1
25,11.7157630020874,-35.9465847788008,-0.150370701695868,-0.0801521744392637,-1
26,11.6858478029454,-21.5354412450706,-0.15119227925896,-0.076212103277879,-1
27,-8.54594682605064,-33.5951490717289,-0.156353167265767,-0.0784560943945034,-1
28,2.56890358487425,-41.8880874717474,-0.153013075796733,-0.0806853070600998,-1
29,-12.4698942889161,-44.5523187241399,-0.155629096961775,-0.0817181457789864,-1
30,0.00793193992390195,-61.3170469682085,-0.151637500029521,-0.0858207410110188,-1
31,18.3799657162286,-79.2761937680993,-0.147033263675593,-0.0898329543478166,-1
32,-18.1948291798448,-16.0737135360113,-0.155537888152097,-0.0734666170928166,-1
33,-11.7266091644721,-5.66882519376112,-0.153222963593495,-0.0707314174874829,-1
34,-16.6570259496952,-7.72621682916612,-0.154408482602032,-0.0705789855432609,-1
35,-30.3624600341872,-22.8432736309832,-0.157025900319051,-0.074024523064455,-1
36,-18.8682962848303,-19.8170955840911,-0.153152786856604,-0.0735977952910207,-1
37,-14.1718920395331,-23.1916512642909,-0.152641900212041,-0.0739208988992861,-1
38,-9.54332859083597,-66.9271405701202,-0.152652583834672,-0.084112118728215,-1
39,-31.8816454933101,-37.7880315141148,-0.157687991646264,-0.0770068144819113,-1
40,-22.1537146582627,-27.9911989476556,-0.155015898919309,-0.0747491144074253,-1
41,-32.8126931502184,-4.96642339368254,-0.158462854545693,-0.0683586010576207,-1
42,-21.3861294916865,-29.4688873133683,-0.156204266893881,-0.073795612636163,-1
43,4.31146175352048,-36.9926593297894,-0.150311571685123,-0.0754886008734055,-1
44,8.36082277906314,-18.6290561667524,-0.149867272638868,-0.0705261331355054,-1
45,-0.100673740580106,-43.6254392208432,-0.151924170254029,-0.0765192617152984,-1
46,7.74748201187119,-36.4281777075307,-0.149815390732888,-0.074991286550982,-1
47,11.7171461908925,-60.8288350598299,-0.148986760582308,-0.0808642235441905,-1
48,-10.4016115838315,-58.2297389406255,-0.1548052011224,-0.0795697673514472,-1
49,-9.92738737839616,-42.2988509880695,-0.154770957667901,-0.0756159483415404,-1
50,-6.93723845511558,-47.4948135579057,-0.153900863889097,-0.0768091526994114,-1
51,-12.4442882066748,-80.740471415929,-0.154944241837322,-0.0847474754504385,-1
52,-16.7479390038596,-68.8271949922949,-0.15682486666183,-0.0813529235852911,-1
53,-32.078058644151,-46.1877223060585,-0.160961970344663,-0.0756935352094376,-1
54,-21.1233455519041,-62.4333746333816,-0.158437381437616,-0.0797350915496582,-1
55,3.43409930880281,-82.7615715949243,-0.153421818629631,-0.0844388975039071,-1
56,-4.0462431120868,-74.5620694221181,-0.155692416628453,-0.081891812023896,-1
57,0.941756308370283,-74.1543042439109,-0.155272599138371,-0.0815870842527641,-1
58,-3.03061114498527,-79.3001935401869,-0.157004072211636,-0.0824230584476931,-1
59,-0.405208175419786,-97.93894042209,-0.157037798941903,-0.0869385558233165,-1
60,14.1860742292544,-98.6423390208462,-0.154413803465068,-0.086838392926941,-1
61,2.9021876414147,-65.3932838944397,-0.157452854189741,-0.0779037497873308,-1
62,-11.0809702391477,-111.935896852876,-0.161029144494801,-0.0898545386644496,-1
63,-13.1536529645208,-72.5839420141232,-0.162058487095647,-0.0797570842182275,-1
64,1.63017431295103,-94.2300567996163,-0.158634253369944,-0.0850648037956048,-1
65,-6.38978753323205,-88.381328746932,-0.160805891695611,-0.0834951767337857,-1
66,16.686521559754,-81.443736656203,-0.155023119093035,-0.0813705216092126,-1
67,2.1282253461727,-84.1117503801165,-0.158750739770422,-0.0820800622665307,-1
68,2.76809988481021,-58.8723961736049,-0.158402635224406,-0.0757274673108112,-1
69,7.20001307756317,-54.4213530604124,-0.157022548594304,-0.0745165677023672,-1
70,18.0351398120488,-71.8210741113237,-0.154223481361517,-0.079079725582556,-1
71,-4.068207265682,-84.6694334910858,-0.160098216911839,-0.0819649459111545,-1
72,-4.71456413900152,-101.036162564149,-0.159775236335905,-0.0861138793652918,-1
73,-23.7943054828513,-56.5195890079069,-0.164293445087993,-0.0750850324883585,-1
74,-31.6041066074061,-58.8989382151381,-0.165668587924093,-0.0757727749304102,-1
75,-2.13467906827406,-97.9939446969575,-0.158467602822418,-0.0854356456897568,-1
76,-15.7480945255496,-97.3402982873998,-0.16210894451861,-0.0848377212283609,-1
77,-21.3666198152005,-90.8988067929869,-0.163193925750256,-0.0831952325139076,-1
78,-20.7727947012596,-69.4956931068114,-0.162609021850864,-0.07805534558235,-1
79,-17.4985359454872,-63.842828764399,-0.161630779086889,-0.0767915352301596,-1
80,-24.8652019485732,-63.4140074427964,-0.16330310818389,-0.0768163669169527,-1
81,-25.7527007234101,-73.0386137899114,-0.163156875226282,-0.0791381782454379,-1
82,-25.4848017629029,-93.588139414583,-0.162864241724829,-0.0843434403774642,-1
83,-20.1978026316783,-89.2016256012769,-0.160929947407809,-0.0834960323283189,-1
84,-23.7587535554775,-71.2711434659779,-0.161574218731784,-0.0790377042237776,-1
